Time,ankle-x,ankle-y,ankle-z,thigh-x,thigh-y,thigh-z,trunk-x,trunk-y,trunk-z,annontations
260000,-434,921,257,-954,129,101,58,1038,0,1
260015,-444,921,257,-963,138,111,58,1019,-29,1
260031,-444,921,257,-963,138,121,29,1019,-38,1
260046,-414,901,267,-963,138,111,29,1019,-38,1
260062,-414,901,267,-954,157,101,48,1000,-29,1
260078,-414,911,247,-954,138,111,48,990,-29,1
260093,-414,911,247,-945,120,111,38,1009,-48,1
260109,-424,911,247,-954,138,90,38,1028,-58,1
260125,-424,911,247,-954,129,101,38,1000,-48,1
260140,-454,911,267,-963,138,111,29,1009,-38,1
260156,-454,911,267,-954,129,80,48,1009,-38,1
260171,-434,921,267,-945,148,90,48,1000,-67,1
260187,-434,921,267,-945,148,90,19,1019,-48,1
260203,-434,921,237,-963,148,90,29,1019,-58,1
260218,-434,921,237,-963,157,101,19,1009,-48,1
260234,-434,911,267,-954,138,90,9,1000,-38,1
260250,-434,911,267,-954,157,80,9,1000,-38,1
260265,-434,911,257,-954,138,111,29,1009,-48,1
260281,-424,901,267,-954,148,90,38,1000,-58,1
260296,-424,901,267,-963,138,90,38,1019,-48,1
260312,-434,911,257,-963,148,111,29,1019,-77,1
260328,-414,911,247,-954,157,111,38,1000,-67,1
260343,-414,911,247,-954,129,101,29,990,-38,1
260359,-434,921,267,-963,148,111,29,1028,-67,1
260375,-434,921,267,-963,148,101,29,1000,-48,1
260390,-434,921,237,-954,138,121,9,1009,-29,1
260406,-434,911,257,-963,138,111,29,1028,-48,1
260421,-434,911,257,-963,138,111,19,1000,-48,1
260437,-424,911,267,-945,120,121,19,1009,-48,1
260453,-434,901,257,-945,138,80,29,1019,-67,1
260468,-434,901,257,-972,129,90,29,1009,-67,1
260484,-434,901,267,-963,129,121,19,1019,-67,1
260500,-434,931,217,-963,129,101,29,1009,-58,1
260515,-434,931,217,-954,138,121,29,1009,-67,1
260531,-424,911,267,-963,138,121,29,1009,-67,1
260546,-424,911,267,-954,157,101,29,1028,-48,1
260562,-414,911,257,-954,138,101,19,1028,-58,1
260578,-424,901,277,-963,129,111,29,1028,-67,1
260593,-434,911,257,-972,148,121,29,1019,-67,1
260609,-434,921,257,-954,120,101,29,1019,-58,1
260625,-444,911,257,-963,129,111,29,1019,-77,1
260640,-444,911,257,-972,148,101,48,1000,-58,1
260656,-434,921,267,-963,138,111,48,1009,-38,1
260671,-434,921,257,-954,138,111,29,1019,-38,1
260687,-434,921,257,-963,138,90,48,1009,-67,1
260703,-444,911,257,-963,148,80,38,1019,-67,1
260718,-434,921,247,-963,129,111,38,1009,-77,1
260734,-434,921,247,-963,148,121,29,1028,-58,1
260750,-434,911,247,-963,138,101,38,1019,-48,1
260765,-434,911,267,-945,138,101,29,1019,-67,1
260781,-444,901,247,-954,148,101,48,1000,-58,1
260796,-444,901,247,-954,138,121,38,1019,-77,1
260812,-424,921,227,-954,138,121,29,1019,-67,1
260828,-424,911,257,-963,129,101,48,1009,-58,1
260843,-414,921,257,-963,138,101,38,1009,-38,1
260859,-434,921,257,-954,138,101,29,1009,-38,1
260875,-434,892,267,-963,157,80,38,1019,-48,1
260890,-434,931,237,-963,129,101,29,1009,-48,1
260906,-424,911,287,-954,148,101,29,1038,-67,1
260921,-434,901,257,-954,148,121,38,1009,-29,1
260937,-434,911,277,-945,129,111,58,1000,-48,1
260953,-434,892,247,-963,148,80,48,980,-58,1
260968,-434,921,257,-963,148,80,48,1019,-58,1
260984,-434,911,257,-954,120,111,48,1009,-48,1
261000,-424,911,257,-963,138,111,48,1009,-48,1
261015,-434,921,237,-954,129,90,48,1019,-48,1
261031,-434,911,257,-945,129,111,58,1009,-48,1
261046,-414,901,267,-945,120,90,58,1009,-48,1
261062,-444,921,267,-963,129,90,38,1019,-38,1
261078,-414,892,247,-963,138,90,58,1028,-67,1
261093,-434,901,267,-954,129,101,67,1009,-38,1
261109,-424,911,257,-963,138,121,38,1028,-29,1
261125,-434,911,257,-954,148,90,48,1028,-67,1
261140,-424,921,237,-954,129,111,48,1019,-67,1
261156,-444,892,267,-963,138,111,48,1009,-48,1
261171,-424,931,257,-954,148,101,48,1000,-9,1
261187,-444,921,247,-963,129,101,58,1000,-38,1
261203,-434,911,257,-954,148,80,48,1019,-38,1
261218,-424,882,277,-963,148,101,58,1019,-67,1
261234,-434,901,257,-954,148,90,58,1009,-38,1
261250,-424,921,267,-945,129,101,38,1019,-58,1
261265,-434,911,277,-963,148,101,58,1019,-58,1
261281,-434,911,277,-954,138,80,38,1009,-58,1
261296,-444,911,267,-963,129,121,48,1009,-58,1
261312,-444,882,287,-963,138,111,48,1009,-58,1
261328,-424,911,257,-963,138,101,67,990,-29,1
261343,-444,921,257,-972,138,111,48,1028,-38,1
261359,-424,882,267,-963,148,101,58,1028,-67,1
261375,-434,901,267,-963,129,121,58,1000,-48,1
261390,-444,901,277,-954,129,80,48,1009,-38,1
261406,-424,901,267,-954,129,101,58,1009,-58,1
261421,-424,911,247,-963,138,111,48,1019,-48,1
261437,-434,911,277,-954,148,131,38,1019,-29,1
261453,-434,911,277,-954,138,90,38,1019,-58,1
261468,-424,911,267,-954,138,80,48,1019,-58,1
261484,-444,911,247,-963,138,111,48,1009,-29,1
261500,-434,901,247,-954,157,80,48,1009,-67,1
261515,-424,901,257,-954,129,111,48,1009,-38,1
261531,-434,892,287,-963,138,111,67,1009,-29,1
261546,-424,921,267,-963,138,101,58,1028,-19,1
261562,-424,901,247,-954,138,111,48,1000,-48,1
261578,-444,921,237,-972,129,121,48,1019,-58,1
261593,-424,911,257,-963,148,101,48,1028,-29,1
261609,-444,892,277,-954,129,101,48,1028,-58,1
261625,-424,892,277,-963,138,111,48,1019,-38,1
261640,-444,921,257,-963,138,131,58,1019,-48,1
261656,-424,921,257,-954,138,111,38,1009,-48,1
261671,-424,911,287,-963,129,121,48,1000,-38,1
261687,-434,921,277,-963,138,80,48,1000,-38,1
261703,-424,911,277,-954,138,90,58,1028,-58,1
261718,-434,921,257,-963,129,121,58,1009,-58,1
261734,-434,911,237,-963,129,121,58,1019,-38,1
261750,-444,911,267,-954,120,101,48,1028,-58,1
261765,-434,901,257,-954,120,101,67,1000,-38,1
261781,-444,921,257,-954,129,101,48,1019,-48,1
261796,-434,901,277,-954,129,111,38,1009,-48,1
261812,-434,911,267,-963,138,111,29,1009,-19,1
261828,-414,911,267,-954,138,101,48,1019,-58,1
261843,-434,901,267,-954,138,101,58,1009,-48,1
261859,-454,911,267,-963,138,121,48,1019,-58,1
261875,-454,901,267,-954,138,90,67,1009,-58,1
261890,-444,931,247,-954,129,90,67,1019,-67,1
261906,-424,901,257,-963,148,101,48,1009,-29,1
261921,-444,921,257,-963,148,101,58,1000,-38,1
261937,-434,921,247,-954,129,121,58,1009,-38,1
261953,-434,901,247,-963,129,121,29,1019,-38,1
261968,-444,911,277,-945,129,121,58,1019,-48,1
261984,-434,911,257,-954,138,121,58,1009,-58,1
262000,-434,901,267,-963,129,101,38,1019,-58,1
262015,-444,911,277,-963,138,101,58,1019,-29,1
262031,-414,911,267,-963,148,90,58,1009,-38,1
262046,-454,921,277,-954,148,80,48,1009,-48,1
262062,-424,931,267,-972,138,111,58,1009,-58,1
262078,-424,921,247,-963,138,90,58,1009,-38,1
262093,-434,911,267,-954,129,131,48,1019,-29,1
262109,-434,901,257,-963,129,111,58,1019,-48,1
262125,-444,911,247,-963,138,101,58,1009,-38,1
262140,-444,901,247,-954,129,90,48,990,-38,1
262156,-434,911,267,-963,138,101,58,1019,-58,1
262171,-434,911,277,-954,129,111,48,1009,-19,1
262187,-444,901,247,-963,148,80,38,1028,-38,1
262203,-434,911,277,-954,138,101,58,1019,-67,1
262218,-434,921,247,-963,138,101,58,1000,-48,1
262234,-424,901,257,-954,148,80,58,1009,-29,1
262250,-424,911,277,-963,129,131,48,1028,-38,1
262265,-444,911,267,-954,129,131,58,1000,-38,1
262281,-434,921,247,-963,138,121,48,1019,-48,1
262296,-434,892,257,-963,129,101,58,1019,-38,1
262312,-434,892,257,-972,138,111,58,1019,-29,1
262328,-444,911,267,-963,129,90,38,1009,-38,1
262343,-444,921,267,-954,148,80,58,1019,-58,1
262359,-444,921,257,-972,138,111,58,1019,-38,1
262375,-434,911,267,-963,138,121,48,1028,-29,1
262390,-424,901,267,-954,138,101,29,1028,-48,1
262406,-434,901,277,-963,129,101,58,1009,-48,1
262421,-424,921,257,-945,129,101,38,1019,-29,1
262437,-434,911,267,-954,138,121,48,1019,-48,1
262453,-434,901,267,-954,120,90,67,1009,-29,1
262468,-424,892,267,-954,138,101,67,990,-38,1
262484,-444,921,257,-954,148,90,48,1019,-48,1
262500,-444,921,257,-954,129,111,48,1000,-38,1
262515,-434,911,267,-963,138,111,58,1009,-48,1
262531,-424,921,247,-954,138,90,58,1028,-48,1
262546,-434,931,257,-954,138,101,58,1038,-48,1
262562,-434,931,257,-954,138,101,38,1019,-29,1
262578,-424,911,257,-963,129,111,58,1019,-67,1
262593,-424,901,267,-954,148,90,48,1000,-48,1
262609,-434,911,277,-954,138,90,29,1028,-38,1
262625,-434,911,277,-954,138,90,58,1019,-38,1
262640,-434,911,277,-954,138,101,58,1009,-38,1
262656,-434,911,277,-963,148,90,58,1038,-19,1
262671,-434,911,277,-954,120,101,48,1028,-29,1
262687,-444,911,257,-954,120,121,48,1038,-48,1
262703,-414,901,257,-963,129,101,48,1028,-38,1
262718,-414,901,257,-954,129,111,58,1019,-38,1
262734,-424,911,257,-972,138,90,48,1019,-48,1
262750,-424,901,277,-963,138,111,67,1009,-29,1
262765,-424,901,277,-954,129,101,58,1019,-48,1
262781,-424,901,277,-963,129,111,48,1019,-38,1
262796,-424,901,277,-945,138,111,48,1019,-38,1
262812,-424,901,277,-954,138,131,38,1019,-29,1
262828,-434,921,247,-963,138,111,38,1038,-29,1
262843,-434,911,257,-963,138,101,48,1009,-48,1
262859,-434,911,257,-972,138,90,48,1009,-29,1
262875,-444,911,277,-954,138,111,48,1009,-29,1
262890,-434,911,257,-963,148,90,67,1000,-29,1
262906,-434,911,257,-963,148,90,58,1000,0,1
262921,-424,892,267,-954,120,90,48,1019,-48,1
262937,-424,911,267,-963,138,90,48,1019,-58,1
262953,-434,901,257,-954,138,121,58,1000,-29,1
262968,-444,921,277,-945,138,101,58,1000,-29,1
262984,-444,921,247,-954,157,111,58,1019,-38,1
263000,-444,921,247,-963,148,131,58,1019,-38,1
263015,-444,901,267,-963,138,80,58,1000,-19,1
263031,-444,911,257,-954,129,101,48,1009,-29,1
263046,-434,911,257,-945,129,101,38,1019,-48,1
263062,-434,911,267,-963,138,121,58,1009,-38,1
263078,-434,911,277,-954,129,121,58,1019,-29,1
263093,-434,911,277,-963,138,121,48,1019,-19,1
263109,-434,901,257,-954,129,101,58,1009,-29,1
263125,-444,901,267,-954,148,80,48,1028,-58,1
263140,-434,911,267,-963,138,90,48,1028,-58,1
263156,-434,911,267,-963,148,101,48,1009,-29,1
263171,-444,901,267,-963,138,111,48,1028,-48,1
263187,-434,921,247,-945,129,111,58,1028,-48,1
263203,-434,882,257,-954,157,111,58,1009,-48,1
263218,-434,882,257,-954,148,90,38,1028,-29,1
263234,-434,911,267,-954,129,111,38,1028,-48,1
263250,-434,901,267,-954,120,121,48,1009,-48,1
263265,-434,901,267,-963,129,90,48,1019,-38,1
263281,-444,901,277,-945,138,90,48,1028,-29,1
263296,-444,901,277,-963,120,80,58,990,-19,1
263312,-424,921,257,-954,138,90,38,1019,-38,1
263328,-424,931,257,-954,129,111,48,1019,-58,1
263343,-424,931,257,-945,129,90,67,1000,-29,1
263359,-424,921,277,-954,138,101,58,1000,-48,1
263375,-424,921,277,-954,138,101,67,1009,-38,1
263390,-444,911,287,-972,157,101,67,1009,-48,1
263406,-444,901,277,-972,138,101,67,1019,-48,1
263421,-444,901,277,-954,138,101,48,1019,-38,1
263437,-424,901,267,-954,129,131,67,1019,-38,1
263453,-424,901,267,-963,129,121,67,1009,-29,1
263468,-424,901,267,-963,148,101,67,1019,-58,1
263484,-424,901,267,-945,129,121,67,1009,-29,1
263500,-434,892,287,-963,129,131,77,1000,-19,1
263515,-434,892,287,-954,138,90,77,1009,-19,1
263531,-434,921,267,-945,120,101,48,1019,-38,1
263546,-434,921,267,-972,148,90,58,1019,-19,1
263562,-434,921,267,-972,148,90,67,1019,-48,1
263578,-434,921,267,-954,129,70,58,1047,-48,1
263593,-434,921,267,-945,129,90,67,1019,-9,1
263609,-434,921,267,-963,138,101,67,1009,-29,1
263625,-434,921,267,-936,129,101,67,1028,-58,1
263640,-434,921,267,-954,138,80,67,1028,-38,1
263656,-434,921,267,-963,129,90,77,1009,-38,1
263671,-434,921,267,-945,120,101,97,1009,-38,1
263687,-434,921,267,-954,138,90,97,1009,-29,1
263703,-434,921,267,-945,129,101,87,1009,-38,1
263718,-434,921,267,-972,138,101,77,1009,-19,1
263734,-434,921,267,-954,148,80,87,1009,-29,1
263750,-424,941,227,-963,129,90,97,1019,-19,1
263765,-444,941,247,-963,120,121,77,1009,-29,1
263781,-444,941,247,-945,148,101,97,1019,-48,1
263796,-424,911,247,-954,129,80,87,1009,-29,1
263812,-424,911,267,-963,148,90,77,1009,-29,1
263828,-434,911,267,-963,138,90,97,1000,-38,1
263843,-434,911,267,-954,138,101,97,1000,-19,1
263859,-434,931,257,-963,129,121,77,1009,-29,1
263875,-434,931,257,-954,120,121,77,1019,-19,1
263890,-424,921,237,-954,138,111,97,1000,9,1
263906,-434,901,267,-954,129,111,87,1028,-9,1
263921,-434,901,267,-972,129,90,87,1028,-19,1
263937,-434,921,257,-972,138,90,87,1009,-29,1
263953,-434,921,257,-954,138,121,87,1009,-29,1
263968,-434,921,267,-963,138,121,87,1028,-19,1
263984,-434,921,267,-954,148,90,97,1019,-29,1
264000,-434,921,257,-963,129,101,87,1019,0,1
264015,-434,911,277,-954,148,101,87,1019,0,1
264031,-444,901,257,-963,138,111,106,1019,-29,1
264046,-444,901,257,-954,129,101,97,1009,19,1
264062,-444,911,267,-963,129,101,97,1019,-38,1
264078,-454,921,267,-945,129,101,116,1000,-9,1
264093,-454,921,267,-954,138,70,116,1000,-9,1
264109,-444,911,257,-954,129,111,116,1019,-9,1
264125,-444,911,257,-963,148,111,116,1009,-9,1
264140,-414,911,247,-954,157,60,106,1019,-9,1
264156,-444,901,267,-954,138,80,106,1019,-9,1
264171,-444,901,267,-963,148,80,116,1009,-9,1
264187,-424,911,257,-954,129,80,97,1019,9,1
264203,-424,911,257,-954,120,80,106,1009,-29,1
264218,-434,911,257,-972,138,101,106,1009,-29,1
264234,-424,921,257,-954,129,131,106,1028,-9,1
264250,-424,921,257,-963,129,111,106,1019,-29,1
264265,-424,911,247,-972,129,121,106,1019,0,1
264281,-424,911,247,-954,120,141,106,1019,0,1
264296,-424,901,257,-954,138,141,126,1009,48,1
264312,-444,921,267,-954,120,121,106,1000,0,1
264328,-424,911,267,-972,129,101,106,1000,0,1
264343,-434,921,267,-972,138,90,87,1009,9,1
264359,-424,911,267,-963,148,60,97,1009,-29,1
264375,-434,911,277,-972,138,101,106,1019,-9,1
264390,-424,921,247,-972,138,101,106,1019,9,1
264406,-424,921,247,-963,148,90,116,1009,0,1
264421,-424,921,257,-981,148,121,126,1000,9,1
264437,-434,911,257,-981,111,131,145,1009,48,1
264453,-444,921,267,-972,129,111,126,1028,58,1
264468,-434,931,257,-963,120,90,116,1028,38,1
264484,-434,921,287,-954,111,111,106,1019,29,1
