Time,ankle-x,ankle-y,ankle-z,thigh-x,thigh-y,thigh-z,trunk-x,trunk-y,trunk-z,annontations
280000,101,1000,297,-9,953,303,330,942,-145,1
280015,101,1000,287,-27,944,292,310,933,-155,1
280031,121,980,287,-27,935,292,300,952,-135,1
280046,111,1000,277,-27,962,282,320,961,-165,1
280062,101,980,306,-45,953,262,310,933,-126,1
280078,90,990,287,-27,944,262,310,952,-126,1
280093,90,980,306,-36,944,262,300,961,-145,1
280109,80,1000,306,-45,953,242,291,961,-135,1
280125,90,1000,287,-54,962,242,262,971,-126,1
280140,90,1009,287,-36,962,252,223,980,-135,1
280156,101,1000,326,-54,944,292,233,1000,-145,1
280171,80,980,326,-45,925,303,203,1000,-135,1
280187,101,1009,306,-54,944,333,194,1000,-135,1
280203,121,1019,287,-54,981,313,203,980,-126,1
280218,121,990,306,-27,962,292,194,990,-97,1
280234,101,1009,306,-36,944,303,213,1009,-155,1
280250,70,1000,326,-54,925,313,203,1000,-126,1
280265,80,1000,287,-81,925,323,184,980,-106,1
280281,90,1000,326,-127,935,343,194,990,-106,1
280296,131,970,326,-145,907,414,174,990,-126,1
280312,111,1000,336,-118,916,373,155,1028,-116,1
280328,131,990,306,-81,925,373,174,971,-126,1
280343,111,990,306,-63,944,343,165,1000,-106,1
280359,121,980,306,-54,944,323,155,1009,-126,1
280375,141,970,306,-54,944,303,203,990,-116,1
280390,141,970,297,-81,962,282,213,1019,-145,1
280406,121,1000,277,-100,944,282,213,990,-116,1
280421,90,1000,297,-118,953,272,203,980,-106,1
280437,111,1019,306,-136,962,313,213,971,-126,1
280453,161,1009,316,-118,935,303,194,1009,-165,1
280468,151,1009,316,-54,935,333,165,1019,-174,1
280484,161,1009,297,-9,935,353,155,1019,-165,1
280500,171,990,326,9,953,343,135,1028,-184,1
280515,161,1009,316,0,925,393,145,1019,-135,1
280531,181,1000,267,-27,953,373,126,1000,-116,1
280546,161,990,326,-54,953,353,135,1009,-155,1
280562,151,990,316,-54,925,353,184,990,-184,1
280578,151,980,297,-72,935,333,116,971,-213,1
280593,161,990,297,-90,925,333,116,961,-223,1
280609,141,980,287,-81,944,282,116,961,-223,1
